펫티켓 포스터,"첨부파일
펫티켓01
.jpg
null
파일 다운로드
필요하신분 쓰세요","허수아비2
2023.01.05. 12:30"
11월 6일 (일) 제2회 진돗개는 반려견 퍼레이드 반포-2마리 참여가능,"예상하지 못한 사고로 목숨을 잃으신 분들과 그 가족분들.. 모든 희생자분들이 안타깝고 국가애도기간이 조금의 위로가 되길 바랍니다.
국가애도기간 지나, 이번주 일요일! 
드디어 제 2회 “진돗개는 반려견” 퍼레이드 반포 는 그대로 진행됩니다. 
산진 역시, 늘 안전이 최우선이고 가장 중요합니다. 
산진 회원님들께서 다들 이해해주시고 같은 가치를 가지시는 분들께서 늘 함께 해주셔서 산책가자진돗개야가 더 한걸음씩 나아갈 수 있다고 생각합니다. 
가을의 끝자락, 다시 한번 진돗개들이 이렇게 사랑받으며 살아야 하는 것을 대중들에게 보여주러 가보시자구요!! 
▶️일정: 11월 6일 일요일, 오전 11시
▶️장소: 반포한강공원  반포2주차장 
(지도 참고)
▶️참가견(25두)
: 열매, 찐이, 찌노, 복둥이, 가을이, 둥이, 보리(원당), 깐돌이, 순이, 달이, 욘석이, 강이, 수호, 루시, 뽀기, 영웅, 호야, 탄비, 미미, 보리(낙성대), 보리(가평), 희망이, 대로
(변동이 있으시면 댓글로 알려주세요)
▶️주의사항
:산진에서는 다양한 성향을 가진 아이들이 부담없이 모일 수 있는 열린 공간, 모임을 지향합니다. 
그러기 위해서는 반려견 간의 무분별한 인사, 다른 반려견에게 간식주기 및 만지기 등 반려견들이 자극이 되거나 흥분도를 높일 수 있는 행위를 일체 금지하고 있습니다. 
원래 친했다 하더라도 이날만큼은 친구간 인사보다는 다른 진돗개들과 함께 대열안에서 발맞춰 걷는 것에 집중해주시기 부탁드립니다. 
그리고 가급적 자동줄은 자제 부탁드립니다. 현재 규정상 2미터이내의 리드줄을 사용하게 되어 있습니다. 
한강공원은 주말에 많은 사람들과 반려견들이 오는 장소이기 때문에, 더욱더 펫티켓을 지켜주시기 부탁드립니다. 또한 보호자 컨트롤 상, 하네스와 목줄 모두 착용이 필요하시다면, 이중 착용을 부탁드립니다. 
또한 우리 카페는 무분별하고 강제적인 입마개 착용에 대해서는 반대하는 곳입니다. 하지만 우리의 반려견이 낯선 곳, 낯선 상황 등에서 보호자가 정확히 케어하지 못할 공격성이 종종 보인적이 있다면, 모두의 안전을 위해 입마개 착용도 해주시길 부탁드립니다. 입마개를 한다고 부정적인 시각을 가지는 보호자들이 모두 아니시니 그 걱정은 하지 않으셔도 될 것 같구요, 보호자님의 케어와 아이 성향에 대한 판단으로 자율적으로 해주시면 될 것 같습니다. 
마지막으로, 다견 가정이 오실 경우, 반드시 1견 1인 이상의 보호자가 있어야 합니다. (1인 2견 절대 안됨)
이미 산진 회원님들께서는 그렇게 하고 계시리라 생각합니다만, 다시한번 당부 드립니다. 
▶️깜작 기념품 
: 안전을 위해 스카이댕슬 선생님께서 동행해주시면 좋겠다 싶지만, 선생님들 시간을 함부로 할애해 달라 하기 죄송스러워서 다른 기수 수업보다는 1기 수업을 못하더라도 선생님들의 시간 및 다른 수업을 빼야하는 일 없이 참여해주실 수 있기에 모임 참석을 요청 드렸습니다. 
저희가 도움을 받은 것임에도 불구하고, 스카이댕슬 선생님들께서!! 참가자들에게 특별한 기념품을 만들어주셨습니다!! 
당일 참석자님들께 나눠드리겠습니다~💚
살짝 스포
11월 6일 일요일!! 
우리 모두 건강하게 만나요🤗","순이언니ㅣ금천
넵!!! 제가 출근으로 끝까지 함께 하지 못하는 부분이 너무 아쉽지만 한시간이라도 함께하고 싶은 맘에 순이 출동합니다!!ㅎㅎ
2022.10.31. 20:51"
"동물과 사람의 공존, 올바른 펫티켓은 반려인이 알아야 할 펫티켓, 행복한 고양이 기르기 등 강좌","동물과 사람의 공존, 올바른 펫티켓은 
- 김선아 충북대병원 교수 초청…동물보호 문화교실 개최 -
- 반려인이 알아야 할 펫티켓, 행복한 고양이 기르기 등 강좌 - 
 세종특별자치시(시장 이춘희)가 오는 24일 연서면 농업기술센터 농업인 교육관 대강당에서 동물보호 문화교실을 개최한다.
이번 문화교실은 반려동물 행동의학 전문가인 김선아 충북대 세종동물병원 교수를 초청해 진행된다.
김 교수는 이번 강좌에서 동물과 사람이 공존하기 위한 환경조성을 위해 필요한 펫티켓과 행복한 고양이로 키우기 위해서 반려인이 알아야 할 점에 대해 다룰 예정이다.
참여는 시 누리집(www.sejong.go.kr/)를 통해 온라인으로 23일까지 사전 접수 중이며, 현장 접수를 통한 수강도 가능하다.
시는 이에 앞서 동물등록 활성화 공모전에서 우수 제안으로 선정된 카드형 등록증 도입과 관련해 이번 강의를 수강한 시민들에 한해 동물등록증 카드발급을 희망하는 경우 우선 발급할 예정이다.
윤창희 시 동물위생방역과장은 “반려동물과 행복하게 살기 위해선 그만큼 서로를 알아야 한다”라며 “앞으로도 반려인과 비반려인에게 필요한 다양한 주제 교육의 장을 열어 동물과 사람이 행복한 도시 세종을 만들기 위해서 노력하겠다”라고 말했다.
공고문",[0]
라비엔오 잔디광장 음악회 준비영상입니다,"제가 출장 중이어서 아들이 촬영을 했는데 마지막에 약간의 충돌사고(?)는 있었지만 무난하게 끝낸거 같습니다. ㅠ
화면은 좀 거칠지만 제가 이쁘게 편집을 좀 해서 올려봅니다. ㅎㅎㅎ
음악회 본방은 촬영하지 않았습니다. 공연에 방해가 되니까요. 대신 열정적으로 음악회 사전 준비를 하고 계시는 우리 입대의와 자원봉사자들과 아파트의 모든 행사에 열심히 참여하시는 우리 라비엔오 입주민들의 생생한 모습을 담아봤습니다.
앞서 댓글에서 표현했듯이.
라비엔오 잔디광장이 왜 과천에서 가장 독보적인 장소의 하나인지 만방에 알려준 행사였습니다. 자작나무 흰도화지와 푸른잔디 바탕에는 어떤 오브제를 올려놓더라도 아름다운 그림이 될것입니다. 잔디광장이 개똥밭이 되지 않도록 펫티켓을 지키고 입주민들이 한땀한땀 잡초를 솎아낸 결과가 이런 천지인이 조화로운 넉넉한 터를 자연스럽게 만들낸 것이죠. 입대의 정말 고생하셨습니다.
큰화면으로 보시면 좀 낫습니다 ㅎㅎㅎ. 영상 관람평도 올려주시고 댓글이나 하트 많이 달아주세요. 
즐거운 주말 즐감하세요.
라비엔오 잔디광장 음악회 동영상
재생 수
444
00:00 | 03:02
화질 선택 옵션
자동

라비엔오 잔디광장 음악회 동영상","라비엔오조아
고퀄영상너무잘봤습니다!! 감사합니다^^
2022.10.15. 23:38"
"반려동물 천만시대, 모두를 위한 『펫티켓』지키기","첨부파일
반려인 에티켓
.hwp
파일 다운로드",[0]
3년만에 모국에 가는 강아지랑 어디가서 뭐 하면 좋을까요😆😆,"안녕하세요
말티푸랑 일본 살고있어요!
저희 모카는 한국 출생이에요. 
코로나 전에는 같이 한국도 갔다오고 그랬는데요. 
코로나로 인해 갑자기 한일간 왕래가 어려워지면서 저도 모카도 이번에 거의 3년만에 한국 가게 됐어요!!
진짜…… 넘 넘 기뻐요ㅠㅠㅠㅠㅠㅠㅠ
이번에 가면 약 한달쯤 머무를 거 같은데, 그동안 수도권 근처에서 강아지랑 갈만한 곳 있을까요?
펫 동반 여행지도 좋고 당일치기로 간단히 다녀올만한 곳도 좋고 소소한 펫 동반 음식점/카페 같은 데도 좋고요. 
특히 일본은 건물 내에 반려견 동반이 되는 곳이 거의 없고 한국같은 펫카페가 아주 드물거든요. 
대신 야외로 다닐 곳은 많지만 여름엔 너무 더워서 아침 저녁으로 산책만 겨우 하고 있어요ㅠ ㅠ
그래서 혹시 스타필드처럼(지금도 반려견 동반 가능한 거 맞죠?) 반려견 동반 실내시설 있으면 뭐든 추천 부탁드릴게요. 
대신에 궁금해하실진 모르겠지만 일본 펫티켓이나 반려견 동반 일본 여행 등 제가 알려드릴 수 있는 게 있으면 저도 성실히 알려드릴게요^^
미리 감사드려요'-'","망고 맘
위례에 사는데 스타필드 10층 펫공원도 좋구요.펫과같이다닐수있는 펜션도 반려생활어플서보면 많아요.
2022.07.13. 15:42"
함께하는 반려견 교육 신청받습니다.,"안녕하세요.
2022년 개포2동 주민자치 활동지원사업(개포2동 거주자 대상)으로 반려견 교육을 진행하게 되어 알려드리려 합니다.
짧지만 이번 기회로 앞으로 반려견을 키우고 싶은 분들이나 지금 키우고 있는 견주들이 꼭 알아야 할 올바른 펫티켓을 배우고, 전문강사님의 상담을 통해 반려견의 사회성을 향상시키며 소통을 통해 이웃들과 서로를 더욱 조화롭게 공존하는 문화가 정착되기를 바라는 마음입니다.  
개포2동 주민분들 중 3회 다 참석 가능하신 분들께서 신청 해 주시기 바랍니다.
신청기간은 선착순이며 
화면 하단에 보이는 QR코드로 접속하시거나  https://forms.gle/dSjx3wBCLcBiYFw88
링크 주소를 클릭하면 신청하실 수 있습니다.
ㅇ접수기간 : 수업당 15명정원 /선착순 마감 
                (1부, 2부 탄력수업 가능_ 3회차만 예외)
※ 회차별 교육내용 [ 1부/2부 중 1회만 신청] 
     1회차  2022.10.16(일)  함께하는 개포 반려견 생활 
                (장소:  래미안블레스티지 멀티룸) 
     2회차  2022.10.23(일)  반려견 기본 훈련 
                (장소: 개포힐링센터) 
     3회차  2022.10.30(일) 애견카페를 활용한 상담
                (장소: 반려문화 애견카페 ) with 반려견
개포2동 주민센터에 걸린 현수막과 엑스베너 보고 신청도 가능합니다.","219동 화뢰
1부 2명, 2부 1명 자리가 났습니다.
선착순이니 관심 있으셨던 분들의 신청을 부탁드립니다.^^
2022.10.13. 22:28"
소노펫 클럽앤리조트 ( 홍천 비발디파크),"홍천에 잇는 소노펫입니다. 
반려동물동반은 소노펫, 미동반은 소노벨 이용합니다. 
비발디파크 옆동이 소노펫이에요. 
소노펫은 전부 반려견동반입니다. 
단 펫티켓은 필수지요..^^ 소노벨과 공용공간은 동반 안됩니다.(식당가 등등등) 
소노펫플레이그라운드입니다. 
잔디관리가 잘 되어잇어요. 
반려동물 위한 웰컴키트 (수건,인형,간식) 
사람껀 없어요..🥹
술을 마실 계획이라 차끌고 어디 나가기 그렇다면 
비발디파크내 식객 강추드려요.
식객은 돼지고기를판매하는곳과 한우판매하는곳 따로따로 잇어요. 돼지판매하는곳은 반려동물동반이 안되고 한우관은 1층만 동반이 됩니다. 1층에 자리가 풀이라면 대기하셔야해요. 콜키지는 삼만원입니다. 
조식먹으러도 함께가요. 
물론 미동반분들과 따로 방을 쓰고, 
음식뜨러는 같이 못가요. 
털같은게 날릴수도 잇으니까요. 
비발디파크 바로옆에 세계주류마켓이 잇습니다.
술 좋아하시는분들은 방문 추천드려요!!!","봉맛매니저
우와 완전!!! 반려동물 게시판과 딱 어울리는 찐 정보!!!! 럭셔리 합니다 ㅎㅎ 정보 감사해요
2022.12.20. 08:32"
담배,"103동3호라인앞 경비실뒤로 이렇게
되어있습니다.펫티켓은 난리치면서
흡연자도 자기피운것은 스스로 처리가
되어야된다고 봅니다.","111동 황재원
맞는 말씀입니다.
2022.07.01. 20:26"
강아지 배설물,강아지 키우면서 단지안에 산책로 잘되어있어서 자주 산책나가는데요~ 2단지는 깨끗한것같은데 유독 1단지 후문 산책로 쪽이랑 초등학교앞에 작은공원처럼 되어있는곳에 강아지 응가가 정말 많네요.. 왜 안치우시는건지 자기강아지 배설물은 자기가 치워야죠ㅠㅠ 저도 강아지키우는 입장으로.. 그런분들때문에 펫티켓 잘 지키시는분들도 함께 욕먹는거아닐까요 이런날씨엔 파리도 엄청꼬이는데 저희강아지꺼 치우다가 남의강아지꺼도 같이치운적이 한두번이아니에요 모든사람들이 함께 이용하는 공간인만큼 잘 지킵시다! ㅠㅠ!!!!!,"만두와개껌
2단지 오늘 인도에 똥이 으르러진거 봤어요 누가 밟으셨나봐요 ㅜㅜ 똥은 제발 치우셔야하는데 참~~
2022.05.17. 19:16"
"태백시, 제1회 반려동물 문화행사 개최","태백시(시장 이상호)는 오는 24일 반려동물 놀이터 정식 개장을 기념해 반려동물 놀이터 일원에서 '제1회 태백시 반려동물 문화행사'를 개최한다.
이번 반려동물 문화행사는 반려동물 1천 5백만 시대에 따른 유실·유기동물 발생을 예방하고 반려인이 지켜야 하는 펫티켓과 입양 홍보 등을 통해 인간과 반려동물, 반려인과 비반려인이 조화롭게 공존하는 문화를 만들어가기 위해 마련된다.
행사는 유기동물 입양 홍보 및 반려동물 펫티켓 준수 캠페인 실시, 반려동물 포토존 운영, 반려동물 건강검진 상담, 반려동물 부분 미용, 인식표 만들기 체험, 반려동물과 함께 할 수 있는 경연 프로그램 등 다양한 프로그램으로 진행된다.
시 관계자는 ""이번 행사를 통해 반려인과 비반려인이 서로 이해하고 배려함으로써 올바르고 성숙한 반려동물 문화가 조성돼 사람과 동물이 함께 행복한 태백시가 되기를 기대한다""고 말했다.
(편집자주 : 이 보도자료는 연합뉴스 기사가 아니며 고객들의 편의를 위해 연합뉴스가 원문 그대로 서비스하는 것입니다. 연합뉴스 편집방향과는 무관함을 주지해 주시기 바랍니다)(끝)
출처 : 태백시청 보도자료","애사모부매니저
2022.09.22. 17:20"
인천시 ‘펫 투게더 - 2022 인천 반려동물 문화축제’ 개최,"인천시는 다음 달 7∼8일 송도 컨벤시아 제1홀에서 ‘펫 투게더-2022 인천 반려동물 문화축제’를 연다.
시가 주최하고 ㈜펫토스가 주관하는 행사는 온텍트 축제를 포함해 반려동물과 함께하는 다양한 체험행사를 진행할 예정이다.
행사장에는 ▶펫티켓 운동회 ▶반려동물 문화교실 ▶만들기 프로그램(이름표, 리드줄, 수제간식) ▶반려동물 놀이터 운영 ▶체험 프로그램(건강, 행동상담, 무료미용, 무료 사진인화) ▶펫티켓 OX퀴즈 등 다양한 체험이 이틀간 풍성하게 꾸려질 예정이다.
더욱이 반려동물 문화교실의 산책교육, 입양 후 교육, 문제행동 교정 교육 같은 반려동물의 사회화 교육 체험은 반려인들에게 유익한 기회가 되리라 기대된다.
온라인으로는 반려동물 온라인 세미나, 내반소(내 반려동물을 소개합니다.) 사진 공모전, 추첨이벤트가 마련된다.
자세한 사항은 ‘펫투게더’ 행사주관사인 (주)펫토스(☎1899-0986) 또는 홈페이지(http://incheonpet.com)에서 확인하면 된다.","애사모부매니저
2022.09.16. 17:23"
